Dataset,Model,F1,Precision,Recall,ROC_AUC,Latency_ms
NSL-KDD,IF,0.3945903895637604,0.8501805054151624,0.2569157640458194,0.8554517016891412,0.005976465511525075
NSL-KDD,OCSVM,0.45098507462686566,0.964258360990554,0.29431933296968754,0.6794622278864241,0.15807867769318493
NSL-KDD,AE,0.007295304617772604,0.9038461538461539,0.00366243279046209,0.8439441710681426,0.06710714148324462
NSL-KDD,LSTM-AE,0.07196247984757438,0.5995115995115995,0.03827863101270757,0.5000871524600393,0.30839127911071423
NSL-KDD,CNN-BiLSTM-Attn,0.07153851792127831,0.5980392156862745,0.03804474935682545,0.5010843520081074,0.22997098160771898
HAI,IF,0.0,0.0,0.0,0.0,0.0
HAI,OCSVM,0.0,0.0,0.0,0.0,0.0
HAI,AE,0.0,0.0,0.0,0.0,0.0
HAI,LSTM-AE,0.0,0.0,0.0,0.0,0.0
HAI,CNN-BiLSTM-Attn,0.0,0.0,0.0,0.0,0.0
UNSW-NB15,IF,0.0,0.0,0.0,0.0,0.0
UNSW-NB15,OCSVM,0.0,0.0,0.0,0.0,0.0
UNSW-NB15,AE,0.0,0.0,0.0,0.0,0.0
CICIDS2017,IF,0.0,0.0,0.0,0.0,0.0
CICIDS2017,OCSVM,0.0,0.0,0.0,0.0,0.0
CICIDS2017,AE,0.0,0.0,0.0,0.0,0.0
CICIoT2023,IF,0.0,0.0,0.0,0.0,0.0
CICIoT2023,OCSVM,0.0,0.0,0.0,0.0,0.0
CICIoT2023,AE,0.0,0.0,0.0,0.0,0.0
SWaT,IF,0.0,0.0,0.0,0.0,0.0
SWaT,OCSVM,0.0,0.0,0.0,0.0,0.0
SWaT,AE,0.0,0.0,0.0,0.0,0.0
SWaT,LSTM-AE,0.0,0.0,0.0,0.0,0.0
SWaT,CNN-BiLSTM-Attn,0.0,0.0,0.0,0.0,0.0
WADI,IF,0.0,0.0,0.0,0.0,0.0
WADI,OCSVM,0.0,0.0,0.0,0.0,0.0
WADI,AE,0.0,0.0,0.0,0.0,0.0
WADI,LSTM-AE,0.0,0.0,0.0,0.0,0.0
WADI,CNN-BiLSTM-Attn,0.0,0.0,0.0,0.0,0.0
BATADAL,IF,0.0,0.0,0.0,0.0,0.0
BATADAL,OCSVM,0.0,0.0,0.0,0.0,0.0
BATADAL,AE,0.0,0.0,0.0,0.0,0.0
BATADAL,LSTM-AE,0.0,0.0,0.0,0.0,0.0
BATADAL,CNN-BiLSTM-Attn,0.0,0.0,0.0,0.0,0.0
