Scenario,Run,Lifetime_mins,Proofs_Submitted,Proofs_Missed,Primary_Task_Completion_%,Transitions,S1_Time,S2_Time,S3_Time,S4_Time,Coordinator_Calls
Baseline,1,4320,80,0,100.0,0,400,0,0,0,0
Baseline,2,4320,80,0,100.0,0,400,0,0,0,0
Baseline,3,4320,80,0,100.0,0,400,0,0,0,0
Baseline,4,4320,80,0,100.0,0,400,0,0,0,0
Baseline,5,4320,80,0,100.0,0,400,0,0,0,0
Baseline,6,4320,80,0,100.0,0,400,0,0,0,0
Baseline,7,4320,80,0,100.0,0,400,0,0,0,0
Baseline,8,4320,80,0,100.0,0,400,0,0,0,0
Baseline,9,4320,80,0,100.0,0,400,0,0,0,0
Baseline,10,4320,80,0,100.0,0,400,0,0,0,0
EP-DePIN FSM,1,4320,66,138,100.0,3,172,160,240,449,0
EP-DePIN FSM,2,4320,66,138,100.0,3,172,160,240,449,0
EP-DePIN FSM,3,4320,66,138,100.0,3,172,160,240,449,0
EP-DePIN FSM,4,4320,66,138,100.0,3,172,160,240,449,0
EP-DePIN FSM,5,4320,66,138,100.0,3,172,160,240,449,0
EP-DePIN FSM,6,4320,66,138,100.0,3,172,160,240,449,0
EP-DePIN FSM,7,4320,66,138,100.0,3,172,160,240,449,0
EP-DePIN FSM,8,4320,66,138,100.0,3,172,160,240,449,0
EP-DePIN FSM,9,4320,66,138,100.0,3,172,160,240,449,0
EP-DePIN FSM,10,4320,66,138,100.0,3,172,160,240,449,0
EP-DePIN Aggressive,1,4320,75,95,100.0,3,215,160,180,298,0
EP-DePIN Aggressive,2,4320,75,95,100.0,3,215,160,180,298,0
EP-DePIN Aggressive,3,4320,75,95,100.0,3,215,160,180,298,0
EP-DePIN Aggressive,4,4320,75,95,100.0,3,215,160,180,298,0
EP-DePIN Aggressive,5,4320,75,95,100.0,3,215,160,180,298,0
EP-DePIN Aggressive,6,4320,75,95,100.0,3,215,160,180,298,0
EP-DePIN Aggressive,7,4320,75,95,100.0,3,215,160,180,298,0
EP-DePIN Aggressive,8,4320,75,95,100.0,3,215,160,180,298,0
EP-DePIN Aggressive,9,4320,75,95,100.0,3,215,160,180,298,0
EP-DePIN Aggressive,10,4320,75,95,100.0,3,215,160,180,298,0
EP-DePIN Conservative,1,4320,57,180,100.0,3,129,160,300,600,0
EP-DePIN Conservative,2,4320,57,180,100.0,3,129,160,300,600,0
EP-DePIN Conservative,3,4320,57,180,100.0,3,129,160,300,600,0
EP-DePIN Conservative,4,4320,57,180,100.0,3,129,160,300,600,0
EP-DePIN Conservative,5,4320,57,180,100.0,3,129,160,300,600,0
EP-DePIN Conservative,6,4320,57,180,100.0,3,129,160,300,600,0
EP-DePIN Conservative,7,4320,57,180,100.0,3,129,160,300,600,0
EP-DePIN Conservative,8,4320,57,180,100.0,3,129,160,300,600,0
EP-DePIN Conservative,9,4320,57,180,100.0,3,129,160,300,600,0
EP-DePIN Conservative,10,4320,57,180,100.0,3,129,160,300,600,0
No blockchain,1,4320,0,600,100.0,0,0,0,0,3000,0
No blockchain,2,4320,0,600,100.0,0,0,0,0,3000,0
No blockchain,3,4320,0,600,100.0,0,0,0,0,3000,0
No blockchain,4,4320,0,600,100.0,0,0,0,0,3000,0
No blockchain,5,4320,0,600,100.0,0,0,0,0,3000,0
No blockchain,6,4320,0,600,100.0,0,0,0,0,3000,0
No blockchain,7,4320,0,600,100.0,0,0,0,0,3000,0
No blockchain,8,4320,0,600,100.0,0,0,0,0,3000,0
No blockchain,9,4320,0,600,100.0,0,0,0,0,3000,0
No blockchain,10,4320,0,600,100.0,0,0,0,0,3000,0
